doc_id,topic_00,topic_01,topic_02,topic_03,topic_04
325,0.87146693,0.13283812,-0.302108,0.015818909,0.36246362
326,0.83919495,-0.4480689,-0.06005863,0.066813335,0.2948136
327,0.83760375,-0.50857353,-0.07108945,-0.0184572,0.18541463
328,0.9010993,0.3392303,-0.035369042,0.21210842,-0.16340706
329,0.900599,0.34199843,-0.035920333,0.20992371,-0.16309614
330,0.85402286,-0.41194203,0.08037172,-0.29298645,-0.092994586
331,0.8797588,-0.24378143,-0.2824997,-0.06454778,0.28744146
332,0.8872107,-0.2383514,-0.26906997,-0.061636243,0.2825738
333,0.8300461,0.013294128,0.4041409,-0.3628961,0.12579015
334,0.83926547,0.05795797,0.39509094,-0.3333881,0.15820846
335,0.894077,0.2483521,0.024335414,0.33023715,-0.17116907
336,0.8934164,0.25867543,0.02013771,0.32471845,-0.17042989
337,0.6096063,0.7590565,0.19187266,-0.06231484,-0.10730802
338,0.7709168,-0.4525045,0.2825106,-0.30152595,-0.1737723
339,0.60847974,0.7598019,0.19212663,-0.06328137,-0.10740653
340,0.60847974,0.7598019,0.19212663,-0.06328137,-0.10740653
341,0.5928926,0.55888945,-0.44403335,-0.33362237,-0.16628723
342,0.8853373,0.3246809,-0.29846615,-0.050149117,0.13843127
343,0.87297964,0.3552879,-0.30335012,-0.05798728,0.1276447
344,0.8801713,0.3400078,-0.29716268,-0.05864898,0.13396965
345,0.5960103,0.24743336,-0.41482404,-0.36181158,0.52968097
346,0.7746649,-0.16751355,0.51542026,-0.045110773,-0.32270792
347,0.95296615,0.13293958,-0.04555903,-0.09646948,-0.2506006
348,0.73817503,-0.48611856,0.32515714,0.0796152,-0.32668135
349,0.6039239,0.7335036,0.17047794,-0.21141298,-0.15326524
350,0.56651044,0.13405228,0.48503798,0.17216566,0.6294387
351,0.86468935,0.3263966,-0.2280826,0.29798734,-0.07042416
352,0.86475486,0.3318034,-0.23029156,0.2891293,-0.07399698
353,0.8570986,-0.50009847,0.07664643,-0.0071143387,-0.096738696
354,0.8426496,-0.27450073,0.35564995,0.09800247,-0.28017783
355,0.8786696,-0.2515963,0.3717806,-0.08872777,-0.13618225
356,0.6809304,0.5593766,0.10994676,0.36175743,0.2836811
357,0.52292067,0.56380934,0.4979169,-0.3996756,0.031799253
358,0.8943323,-0.08444053,-0.16279127,0.40626723,0.03854066
359,0.5784948,0.5999736,-0.38397157,-0.39073765,-0.07256282
360,0.5976729,0.54905224,0.07299451,0.5763823,-0.06151551
361,0.8780529,-0.43312714,-0.092550375,0.1787292,0.030237025
362,0.6516532,0.7120032,-0.1500432,0.21120638,-0.035755996
363,0.65067124,0.71235645,-0.15324447,0.21192023,-0.027949767
364,0.64996743,0.7121748,-0.15228714,0.21558006,-0.026137881
365,0.6613814,0.03939283,0.6700697,-0.24364541,-0.22949141
366,0.9373582,-0.06472936,-0.14392582,0.22367215,0.21546653
367,0.8030102,-0.36727586,-0.29999927,0.083876446,0.3510672
368,0.8229274,0.08377192,-0.44464037,-0.20082745,0.27881178
369,0.8567626,-0.14790934,0.40727293,-0.21518065,-0.1786244
370,0.87097436,-0.4616253,-0.0364328,0.08799596,0.13869096
371,0.8063097,-0.27684703,0.345594,0.23606749,-0.31314084
372,0.84092337,-0.5132187,0.16074787,0.0038918597,-0.05999563
373,0.5414439,0.46510378,0.23075278,-0.55047935,-0.36639145
374,0.5411775,0.4670557,0.22991009,-0.5523519,-0.36198696
375,0.7744161,-0.47654262,0.34301302,-0.06038304,-0.22777797
376,0.87345153,-0.3101072,0.15557489,-0.1823087,-0.2889221
377,0.86237925,-0.3774162,0.098379575,-0.22411625,-0.23227663
378,0.804591,-0.49553546,-0.13931373,0.27829808,0.10109355
379,0.8841846,0.35344362,-0.1383845,0.2669422,-0.053728487
380,0.6669991,0.5058118,-0.07709905,0.54156214,-0.0057366015
381,0.64713264,0.35852492,0.006531768,0.6711958,-0.04618146
382,0.84841454,0.09016516,-0.25786003,-0.4527449,-0.024356754
383,0.87769085,-0.3892165,0.02959989,0.21928799,0.17089725
384,0.71517766,0.48593324,0.12928677,-0.1368487,-0.46577582
385,0.79141283,-0.56812084,-0.0595678,-0.08617865,0.19982363
386,0.80263484,0.08180431,-0.034699697,-0.42358768,-0.4104324
387,0.7549504,0.066727094,0.054262817,0.6415509,0.105192155
